ID,Cluster,x,y
Q9LNI5,1,-7.15032499686925,-3.44981114073793
F4HVZ1,1,-6.97141470923705,-3.13228961554435
Q42523,1,-6.61938683263903,-2.51589225170448
A0A1P8AWD1,1,-7.15201938972952,-3.43205029164814
Q9SHJ5,1,-7.05848984992312,-3.4409004563576
Q9SCW7,1,-6.75587022344254,-3.62532152123306
Q9FR37,1,-6.9158476050285,-3.12995245868936
F4I2R3,1,-6.76888787292961,-2.26330873893922
AT1G11175,1,-7.42559725645758,-2.44709158766551
Q8LDI5,1,-7.27650404297257,-3.34960993915185
O65378,1,-7.88294121834723,-3.0981887375249
Q9LMX8,1,-6.76625553933159,-2.93981698719063
Q8H0Z4,1,-7.37973907182337,-2.33987952301786
Q9XI37,1,-6.76422013383118,-3.04024185117674
Q9SA49,1,-7.58006461298794,-2.6554270871384
A0A178WBQ2,1,-7.26412397793923,-2.80379322240028
Q9LN65,1,-7.50702009627494,-2.5256716085214
Q9LM84,1,-7.76290065812031,-3.37769087252528
F4HWF9,1,-6.86466278111301,-3.00598158000276
Q6NLQ3,1,-6.86591873182649,-3.6378024619967
Q9LM20,1,-7.76238653469904,-3.52376993749818
O49303,1,-6.59596140859181,-3.06430779668078
Q9ZUB1,1,-7.01574965529979,-3.02452428543661
Q8LAL6,1,-7.29856529828696,-2.71437051874277
A0A178W6L4,1,-6.56463094591813,-3.29097366267679
AT1G26233,1,-7.52064510056375,-2.79042158780388
Q9LQX4,1,-6.97026769646703,-3.03059202407314
A0A178WCZ2,1,-6.95401108926452,-3.00907015137938
F4HR92,1,-8.07139931737828,-3.44813124706349
Q9LNL1,1,-6.61746292739458,-3.46947031849635
Q9C6E7,1,-7.23504282722479,-2.9282297870594
Q6IDJ6,1,-6.52522076318582,-3.43647311247869
F4HZZ4,1,-7.40572218068897,-2.94696112801024
A0A178W5J7,1,-7.11255331432267,-2.71914419013669
Q94BY6,1,-7.50257577768602,-2.70221082762544
A0A1P8ATA8,1,-6.74612218893558,-2.58861909341349
Q6NQG7,1,-8.00737387996145,-3.28604280331007
F4I4Z0,1,-6.74558062622531,-2.24995180514165
Q9FZB8,1,-7.40549875221568,-2.47691775439061
Q0WMR0,1,-7.12255375005951,-3.6967191309303
A0A384K9V1,1,-7.55435930946351,-3.25373444341215
AT1G07823,1,-6.98676898798462,-2.18811367430578
A0A1P8AQT5,1,-8.00005880215432,-3.00956747688959
Q9SYF0,1,-6.73584054281587,-3.60879427055465
Q9SGU3,1,-7.44744065297914,-2.6953584370088
Q9C6F6,1,-7.29857756222964,-2.40648341722286
Q9C7W2,1,-7.38264557403897,-2.91365431844975
A0A1P8APL7,1,-6.86888204621111,-2.64754880230163
F4I9U8,1,-6.75494291365619,-3.03978371665908
Q9C8E1,1,-6.65394137464678,-4.00350406965723
F4HQ23,1,-7.61442779871749,-3.08925749816584
Q9C9W8,1,-8.1584389728443,-3.05687209437702
Q9LE54,1,-7.0934285319828,-2.39721345458705
O49255,1,-7.41001653633227,-3.64241426692904
AT1G69572,1,-7.96628446738912,-3.08882767453098
Q94BQ6,1,-6.81801628688372,-3.08838846062719
Q9SSN7,1,-7.49902391823182,-3.05140748436257
Q9SSN6,1,-7.16177947114668,-3.14512097723168
Q9SSG5,1,-7.48096855570541,-2.53399275735065
Q9FRL0,1,-6.83103357952509,-3.06596787125396
Q1PFD1,1,-7.22641872942487,-3.34256577651279
Q9SYQ8,1,-6.55291750048179,-2.49135104888941
A0A178WMM6,1,-7.59054249410933,-2.52697599228851
Q9CAQ4,1,-6.93471894020893,-2.69958612199701
A0A1P8AVT1,1,-7.74106368882849,-2.96300438496047
Q944I4,1,-7.20351974519966,-3.48117279680327
Q6NLB0,1,-7.3121374168864,-2.72325360337442
A0A178URA3,1,-8.01802575420746,-3.25903761144713
A0A1P8BEZ1,1,-6.8164561606065,-3.6225505968107
F4KGN5,1,-7.53423677395946,-3.04443184537718
A0A178UA82,1,-6.9957113769818,-2.8301097787909
Q9FG22,1,-6.98221263945763,-3.52907775000025
Q9LXB5,1,-6.59258236995613,-2.43067496035521
A0A178UBW5,1,-7.67231603161395,-3.70820551758178
Q94A21,1,-6.66699755673322,-2.97429608213911
AT5G15845,1,-7.02254536871582,-2.36972367871732
Q2V371,1,-7.1885267365074,-2.27337459375718
Q9FMD9,1,-6.55427214816018,-2.66831662709227
Q9FK47,1,-6.72383600969679,-3.7107520202347
Q8VYW2,1,-7.23336000895719,-2.58900124941035
Q8LBI9,1,-6.79121372479898,-2.41280044888425
Q39034,1,-6.80936751130637,-2.77227995753359
A0A178UKY2,1,-6.60229710090594,-2.31435057570924
A0A1P8BDT4,1,-7.38785929640143,-3.01607961644669
Q9FFB6,1,-6.8684366516446,-2.62289374271037
F4KEA4,1,-6.52226908099337,-2.70615639464013
O82122,1,-6.74512624852847,-2.5820349223013
A0A140JWM8,1,-7.54350674773323,-2.93167834965193
Q9FIW4,1,-7.14356949056049,-2.17195550265684
Q6NL09,1,-6.78319359375131,-3.68255612110625
F4KBM7,1,-6.53720452031159,-2.3947008428654
Q9FKS8,1,-6.95613609354924,-2.84642448271038
Q9FHD5,1,-7.08609865464679,-3.42005329458995
Q9FHD4,1,-7.47468153579822,-2.93652835345582
A0A1P8BFL1,1,-7.21243227062828,-2.19983119565994
ENSRNA049493349,1,-7.11014379849316,-3.52874200694993
Q9FIY8,1,-7.39498113773799,-2.7676225828265
Q9FNL8,1,-6.63632152719879,-3.13254383347956
Q9FL35,1,-6.60075184948324,-2.36518351699692
Q9FI31,1,-7.48378848531536,-3.03970492963113
Q9FJK8,1,-6.60512586915767,-2.69138110443941
AT5G49138,1,-6.692557886334,-2.31398339621404
A0A1R7T3B9,1,-6.78921924014037,-3.56554990501818
Q9FHN1,1,-6.85721258705649,-2.9447969857508
F4KG50,1,-6.82273503087891,-2.84728587350254
Q9LTH4,1,-7.66550457941188,-2.77416595283045
Q9FN93,1,-7.21439643022082,-2.81958766188959
Q8LRK8,1,-6.89134106936554,-3.38382350681812
Q9XFI1,1,-7.03619497221527,-2.89807721974393
A0A1P8BG95,1,-7.89605747653427,-3.40034532649405
Q9FLG3,1,-7.66802347044196,-3.44756136947294
Q8GW83,1,-7.15231982566829,-2.39603915948824
Q9LVR0,1,-7.15162669202651,-2.59339724501669
Q9FJX5,1,-6.57436501395399,-3.10303713253722
Q9S7Z2,1,-6.88546571420543,-2.22524577841541
Q84J95,1,-7.84057147901016,-3.03009288264332
Q9SS67,1,-7.1409358842509,-2.37160486641573
A0A1I9LP10,1,-7.48351359678586,-3.33624739531644
Q9S7A0,1,-7.05252033095248,-2.88169539452696
Q7XA64,1,-7.19452614200966,-2.93869661228729
Q9M9X0,1,-6.96260062143563,-2.13835650776184
Q9SSE5,1,-6.97186164388931,-2.93213846279338
Q9SFC7,1,-6.61695465009388,-2.43068818253242
Q8RWU3,1,-7.50768366298554,-3.51828538998708
Q9SQZ0,1,-6.85646931385136,-2.55091263630355
F4J7G2,1,-7.51362519468749,-3.37608282241715
Q9LE86,1,-7.72421767130611,-2.90149498557223
Q6R2K2,1,-7.52645115234426,-2.72527281057652
Q9LDJ3,1,-6.83310069646951,-2.58955441652651
AT3G03155,1,-7.3882446363029,-2.97481910714633
O48652,1,-6.76888704994033,-2.70481349605287
Q9LW16,1,-6.81083776343846,-3.13666994864346
O04311,1,-7.81955428086976,-2.94786881976428
Q9LSB0,1,-7.86192729403822,-3.46658917359515
Q9LJK8,1,-7.37080844270343,-2.98638439128406
A0A384KN90,1,-7.92909550500047,-3.38633467381307
F4IXJ9,1,-7.26526845260652,-3.30000548440781
Q1PEN5,1,-7.34207919570941,-2.2496360308731
Q8LAX0,1,-7.0778741059428,-2.33977670054762
Q9LUI6,1,-6.60545806800545,-3.59676458640431
Q9LSG4,1,-7.43458878032135,-2.49635963328653
O65785,1,-7.61052714417622,-3.18917012323192
Q9LVX0,1,-7.0725998082533,-3.19805031052701
Q9LSJ6,1,-6.70614978059575,-2.7432973995684
Q9LIA0,1,-7.59975533646049,-3.51956756992705
Q7PC85,1,-7.12460755005757,-3.06628832282182
